"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","race","democrat","republican","states","forborn","citizen","respid","discrimination","micro_aggression"
"5771",0,0.548780487804878,0.4,1,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,"AAPI",1,0,"GA",1,1,1300000198,0,0.111111111111111
"5772",0,0.560975609756098,0.8,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.75,1,1,1,0.25,"AAPI",0,0,"CA",1,1,1350000421,0,0.222222222222222
"5773",0,0.390243902439024,1,1,0.666666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0.75,1,1,1,0.25,0.75,"AAPI",1,0,"NC",1,1,1350000179,0,0.222222222222222
"5774",1,0.829268292682927,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,1,1,0,1,"AAPI",0,0,"MD",1,1,1300000214,0,0.111111111111111
"5775",1,0.402439024390244,0.8,1,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,"AAPI",0,0,"VA",1,1,1350000213,0,0.222222222222222
"5776",1,0.353658536585366,0.6,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.75,1,1,0,1,"AAPI",1,0,"IA",1,1,1300000380,0,0
"5777",1,0.646341463414634,1,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,0,1,0,1,1,1,0.25,1,0,1,"AAPI",0,1,"NY",1,1,1300000372,0,0.222222222222222
"5778",1,0.707317073170732,0.4,1,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,"AAPI",0,0,"CA",1,1,1300000084,0,0.111111111111111
"5779",1,0.341463414634146,1,1,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,1,1,1,1,0.25,1,"AAPI",0,0,"CO",1,1,1250000289,0,0.222222222222222
"5780",1,0.731707317073171,1,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,1,1,1,1,0.75,1,0.75,0.75,0,0.75,"AAPI",1,0,"TX",1,1,1300000223,0,0.222222222222222
"5781",1,0.292682926829268,0.8,1,0.166666666666667,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.75,"AAPI",0,0,"VA",1,1,1250000310,0.333333333333333,0.555555555555556
"5782",1,0.658536585365854,0.8,1,0.166666666666667,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,"AAPI",0,0,"GA",1,1,400000301,0.166666666666667,0.333333333333333
"5783",1,0.439024390243902,1,1,0.833333333333333,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.75,1,0.75,0.75,0.75,0.75,"AAPI",1,0,"FL",1,1,1300000132,0.166666666666667,0.222222222222222
